publikationsjahr;wohnviertel_id;wohnviertel_name;anteil_sozialhilfeempfaenger;anteil_auslaender;anteil_personen_ohne_religionszugehoerigkeit;anteil_personen_in_einpersonenhaushalten;gymnasialquote;altersquotient;anteil_sesshafte;jugendquotient;baujahr_der_wohngebaeude;anteil_einfamilienhaeuser;anteil_gruenflaechen;flaeche_pro_wohnung;wohnflaeche_pro_person;vermoegenssteuer_pro_veranlagung;einkommenssteuer_pro_veranlagung;erwerbstaetigenquote;arbeitsplaetze_pro_einwohner;arbeitslosenquote
2015;15;Hirzbrunnen;0.049250056;0.2244235505;0.4723528095;0.1943587987;0.3105590062;0.4592964824;0.4173942243;0.3364824121;1940.2349903;0.6914138154;0.5877485987;80.509463371;39.23069;670.01187285;7244.4279969;0.716425039;0.3392196911;0.0335215832
2015;17;Matthäus;0.1276765937;0.5161210928;0.4467142506;0.241082177;0.2163461538;0.1651172708;0.2823037165;0.2209808102;1924.8153034;0.0712401055;0.1672942887;67.381836945;34.554332;419.03382451;6202.4897299;0.6752448448;0.1882448695;0.0512705919
2016;5;St. Alban;0.0299752498;0.3103859199;0.4807956733;0.2455745996;0.4727272727;0.4914786561;0.3495279127;0.2791754585;1938.6368997;0.3428812131;0.3277974454;93.616527846;49.285013675;4206.1965759;15633.891206;0.7473000328;2.1554188667;0.0295674895
2016;7;Bruderholz;0.0179812466;0.2311086597;0.4611141754;0.1616093504;0.6241610738;0.4418511066;0.4243794815;0.3820925553;1948.4359962;0.7348411935;0.7148602913;109.42018349;49.539984254;19314.398374;19364.924846;0.7368534062;0.1345701144;0.0217801474
2016;9;Gotthelf;0.0410758661;0.2762753983;0.4850168104;0.2916604947;0.4512195122;0.3506920009;0.3533109195;0.2540464462;1924.5126904;0.3675126904;0.3234019862;75.194288504;41.694555704;3483.3688952;8591.7451399;0.7708965529;0.3163428181;0.0273422872
2016;17;Matthäus;0.1231140242;0.5114395251;0.4520158298;0.2417771545;0.2081218274;0.1688927187;0.2877195152;0.2246445498;1924.9359087;0.0711150132;0.1653125582;67.272074741;34.462788763;426.09984706;6286.6448547;0.6746880259;0.1895854429;0.0506528739
2017;1;Altstadt Grossbasel;0.0192458759;0.2706205813;0.5161036921;0.3013100437;0.8235294118;0.2827663134;0.3153967007;0.1372002231;1822.5777778;0.103030303;0.0672594599;90.238128987;53.608292683;5343.1955206;16397.193099;0.8330483229;4.6034157729;0.0257474605
2017;5;St. Alban;0.0297356828;0.3163546256;0.4913729809;0.2442383361;0.4960629921;0.4835733938;0.345356094;0.2798187409;1938.5498311;0.3403716216;0.3217029926;93.656417765;49.27614194;4819.5869632;15825.977301;0.745714483;2.1779987176;0.0293703729
2017;9;Gotthelf;0.0440251572;0.2776071376;0.4942226123;0.2907906426;0.4457831325;0.3477246208;0.3571741992;0.2478413069;1924.6744659;0.3682604273;0.3236973914;75.034021871;41.631672598;3742.5216358;8734.8026629;0.7561847968;0.2952870375;0.0344512819
2017;10;Iselin;0.0941134157;0.3751348759;0.4521040643;0.2700090607;0.3027888446;0.2541942505;0.3278383887;0.2586378888;1937.1906401;0.1665519615;0.3644713358;68.560730215;36.696560494;439.63134635;6306.206372;0.7022997678;0.1585375962;0.0501539147
2017;11;St. Johann;0.0874826741;0.4340014927;0.4664676405;0.2319218603;0.3695652174;0.2264596958;0.3177311014;0.2515956189;1932.93083;0.2476943347;0.2711033057;71.778727634;36.40733945;550.31399192;6494.7676276;0.7007318463;0.9993926236;0.050352553
2017;12;Altstadt Kleinbasel;0.0721153846;0.3766025641;0.5612980769;0.3301846286;0.6111111111;0.2695800227;0.2752403846;0.1469920545;1880.4929078;0.1028368794;0.0809475704;72.333116037;42.812662619;1111.3745342;8252.5018634;0.7428789485;1.6119596398;0.0542989532
2017;17;Matthäus;0.1200878845;0.5062146893;0.4620213434;0.2448914227;0.2569832402;0.1725466165;0.2908976773;0.222008229;1925.1622807;0.0719298246;0.1657748101;67.282379603;34.715461266;474.9281424;6265.424484;0.6766771209;0.1766922707;0.0554710741
2017;19;Kleinhüningen;0.1431040442;0.4690632561;0.391289319;0.1869393613;0.2222222222;0.2806629834;0.3515381956;0.317679558;1946.4011976;0.1556886228;0.1550874766;70.636764706;32.593659942;171.10575139;4839.1428571;0.6320040497;2.0457450292;0.0631074121
2018;3;Am Ring;0.0369102683;0.3619796485;0.5094357077;0.2780228594;0.5888888889;0.3426260292;0.3042553191;0.2188357648;1918.832483;0.1972789116;0.2376157997;81.96043395;45.562575574;2060.938612;11315.365443;0.8011045547;1.0231113167;0.0313845067
2018;8;Bachletten;0.0246931835;0.2142540293;0.4814431465;0.2107660146;0.693877551;0.3699692308;0.4232589088;0.2947692308;1934.1737915;0.5605273672;0.4131869998;92.894002211;46.408682635;1877.6147682;11394.452909;0.780542957;0.2151706756;0.0241987109
2018;10;Iselin;0.0970977506;0.3791322927;0.4521930085;0.2655998089;0.3436293436;0.2522425547;0.3312956259;0.2591496233;1937.1588721;0.166437414;0.369216064;68.511779293;36.325632892;448.2365746;6316.4219119;0.705780116;0.1560386188;0.0501539147
2018;12;Altstadt Kleinbasel;0.0799512987;0.3717532468;0.5706168831;0.3210091344;0.44;0.2743055556;0.2727272727;0.1516203704;1880.2206406;0.0996441281;0.0809475704;72.17236927;42.151075977;1123.5396725;8736.081864;0.7043903035;1.656596399;0.0542989532
2018;14;Wettstein;0.0359855335;0.3113924051;0.5497287523;0.2642381657;0.5555555556;0.2948402948;0.3638336347;0.2148512149;1933.15625;0.3352272727;0.2785714268;83.225836146;45.690524754;1328.9580318;10771.600289;0.8001764749;1.9001055923;0.038280833
2018;15;Hirzbrunnen;0.048733362;0.249463289;0.4971017604;0.1886155855;0.4277108434;0.422836584;0.3984542722;0.3412232532;1941.7718078;0.6972187105;0.5903189074;80.960734102;38.967116725;735.59236151;7527.794101;0.7095861405;0.3350795757;0.0404742079
2018;17;Matthäus;0.1171948838;0.5057022242;0.4649990549;0.2433320448;0.2983425414;0.1771840394;0.2982168735;0.2177008262;1925.1191937;0.0709903593;0.1657239983;67.244349005;34.833732445;491.56606275;6313.3239063;0.6812807264;0.1834371286;0.0555946177
2018;18;Klybeck;0.1394900069;0.5235010338;0.4121295658;0.2177126918;0.2083333333;0.2034212696;0.3419710544;0.2918384171;1936.9816092;0.0712643678;0.1193188639;65.419001868;31.680970411;185.90031762;4462.0400684;0.6147351268;0.795416447;0.0719648949
2018;19;Kleinhüningen;0.1332630098;0.4743319269;0.3948663854;0.1952813067;0.3673469388;0.285391991;0.3516174402;0.3186689227;1946.4011976;0.1556886228;0.2267642282;70.42468773;32.477628228;206.8607831;4908.5997514;0.6593773305;2.1233821858;0.0631074121
2018;20;Riehen;0.0369328834;0.2609673791;0.4805961755;0.1628540045;0.5512820513;0.4815329799;0.4280089989;0.3726427392;1957.6253324;0.6565143824;0.7956226483;102.73655706;47.494001816;3075.9103589;13428.811448;0.74117237;0.1686427466;0.0193855888
